流水號 課號 課程名稱 學分 全/半年 必/選修 教師 加選方式 時間教室 總人數 備註
25661 ESOE5019 數位控制系統 3 半年 選修 江茂雄 2 二0,1,2(工科視聽室) 56
39558 ESOE5108 腐蝕與防治 3 半年 選修 李岳聯 2 二7,8,9(工科204) 51
83731 ESOE5100 機率與統計 3 半年 選修 黃乾綱 2 一2,3,4(工科204) 51
81100 ESOE5037 水下聲學 3 半年 選修 陳琪芳 2 四7,8,9(工科201) 45
58278 ESOE5043 船舶推進(停開) 3 半年 選修 無 無 二7,8(工科207)三4(請洽系所辦) 54
54580 ESOE5112 近岸海洋傳輸過程 3 半年 選修 戴璽恆 2 三6,7(工科206)五6(工科206) 20
41838 ESOE5110 信號與系統 3 半年 必修 李坤彥 2 一6,7,8(工科204) 51 光機電資訊領域。
49955 ESOE5111 高等材料力學 2 半年 選修 黃心豪 2 一6,7(工科207) 54
75153 ESOE5115 造船原理 3 半年 必修 趙修武 2 三1,2,3(工科203) 54 船海應力計算領域。
43181 ESOE5136 淺水波之計算方法 3 半年 選修 羅弘岳 2 一2,3,4(工科206) 20
35529 ESOE5124 港灣、海洋工程設計、施工實例 2 半年 選修 陳吉紀 3 二3,4(工科204) 50
25996 ESOE5117 工科海工專論 3 半年 必帶 江茂雄 2 一A,B,C(工科視聽室) 63 各領域必修。與陳昭宏、趙修武合授
45126 ESOE5128 自由液面紊流特論 3 半年 選修 蔡武廷 2 四6,7,8(工科203) 20
95103 ESOE5071 多媒體網路 3 半年 選修 張瑞益 2 一7,8,9(工科127A) 30
34815 ESOE5084 演算法 3 半年 選修 黃乾綱 2 四7,8,9(工科207) 30
79578 ESOE5089 虛擬儀控之設計與應用 3 半年 選修 吳文中 2 二2,3,4(請洽系所辦) 60 教室 :工綜323室。
87095 ESOE5093 工程電磁學 3 半年 選修 李佳翰 2 四7,8,9(工科206) 22
69250 ESOE5132 風力發電機原理 3 半年 選修 江茂雄 2 二A,B,C(工科視聽室) 50 與宋家驥、李坤彥、黃心豪、趙修武合授
49893 ESOE5137 離岸浮動式平台之繫泊系統(停開) 3 半年 選修 馬開東 無 六2,3,4(請洽系所辦) 20 開學後有三週密集課：3/7、8、14、15、21、22共六日之9至17時。請確遙P江茂雄
27967 AM5005 光機電系統設計與製造二 3 半年 選修 黃君偉 3 一A,B,C(應111) 98 計入本系課程。與李世光合授
